DATE,Bananas,Bananas s/prod22,Proj_Bananas,Proj_Bananas 2,Proj_Bananas_Eloi,Bananas actuel,GDP,Inflation,Unemployment_Rate,LT_Interest_Rate,ST_Interest_RateE3m,Euribor1year,Unnamed: 13,Unnamed: 14,Idmes,Quarter,GDP.1,Inflation.1,Unemployment_Rate.1,LT_Interest_Rate.1,ST_Interest_Rate,Euribor1year.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
202603.0,,,0.052481492194384465,0.046865079999999996,0.060065,0.0756582593889637,1.79,2.5,6.4,1.624,2.42361471861472,1.899,,,,,,,,,,,,,,,,,,,,,,,,
202604.0,,,0.05192562969438447,0.0495517325,0.059238,0.0756582593889637,1.87,2.5,6.4,1.639,2.42361471861472,1.805,,,,,,,,,,,,,,,,,,,,,,,,
202605.0,,,0.05192562969438447,0.0483534725,0.058703,0.0756582593889637,1.87,2.5,6.4,1.611,2.3,1.793,,,-> forecast officiel donc pas reel,,,,,,,,,,,,,,,,,,,,,
202606.0,,,0.051546556966384466,0.047668752499999995,0.05866,0.0756582593889637,1.87,2.5,6.4,1.591,2.3,1.788,,,,,,,,,,,,,,,,,,,,,,,,
202607.0,,,0.0468798795158876,0.046802235,0.057982,0.0756582593889637,1.95,2.6,6.4,1.615,2.3,1.728,,,,,,,,,,,,,,,,,,,,,,,,
202608.0,,,0.0465745795158876,0.046688115,0.057105,0.0756582593889637,1.95,2.6,6.4,1.586,2.3,1.624,,,,,,,,,,,,,,,,,,,,,,,,
202609.0,,,0.041669014496,0.046640564999999995,0.056287,0.0756582593889637,1.95,2.6,6.4,1.542,2.3,1.527,,,,,,,,,,,,,,,,,,,,,,,,
202610.0,,,0.041428327596,0.0460660475,0.055502,0.0756582593889637,1.97,2.6,6.4,1.507,2.3,1.435,,,,,,,,,,,,,,,,,,,,,,,,
202611.0,,,0.041252547596,0.0450770075,0.05487,0.0756582593889637,1.97,2.6,6.4,1.493,2.3,1.36,,,,,,,,,,,,,,,,,,,,,,,,
202612.0,,,0.0367053249,0.0441545375,0.054381,0.0756582593889637,1.97,2.6,6.4,0.0,2.3,1.311,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,pas d'infos donc choix délibéré de mettre égal au mois d'avant,,,idem,,,,,,,,,,,,,,,,,,,,,,,,,
